Ticker;Name;Sektor;Markt;Waehrung;Richtung;Ideen_Quelle;Einstiegsdatum;Einstieg;Aktueller_Kurs;Stop;TP1;TP2;Status;Ausstiegsdatum;Ausstiegskurs;Performance_Seit_Einstieg%;TP_Hinweis;Alert_Hinweis;Produkt_Typ;Emittent;Hebel;OS_Einstiegskurs;OS_Manueller_Kurs;OS_Performance%;OS_Quelle;OS_WKN
ARGX;argenx SE;Healthcare;US;USD;Long;Hebeltrader-Setup;07.08.2026;875.3;;990.0;1050.0;1100.0;Offen;;;;;;;;;;;;;
EUNL.DE;iShares Core MSCI World UCITS ETF USD (Acc);ETF;EU;EUR;Long;Langfrist;02.02.2022;108.04;;100.0;135.0;150.0;Offen;;;;;;;;;;;;;
XDEQ.DE;Xtrackers MSCI World Quality UCITS ETF 1C;ETF;EU;EUR;Long;Langfrist;01.09.2022;67.71;;67.71;85.0;100.0;Offen;;;;;;;;;;;;;
LSUG.MI;WisdomTree Sugar 2x Daily Leveraged;ETF;EU;EUR;Long;Langfrist;18.03.2026;2.06;;1.75;2.5;3.0;Offen;;;;;;;;;;;;;
NRJ.PA;Amundi MSCI New Energy UCITS ETF Dist;ETF;EU;EUR;Long;Langfrist;03.02.2026;38.04;;38.0;45.0;50.0;Offen;;;;;;;;;;;;;
B;Barrick Mining;Basic Materials;US;USD;Long;Trendfolge;14.08.2026;41.64;;41.64;49.49;52.8;Offen;;;;;;;;;;;;;
JNJ;Johnson & Johnson;Healthcare;US;USD;Long;Hebeltrader-Setup;12.08.2026;259.8;;265.0;274.9;280.0;Offen;;;;;;;;;;;;;
NEM;Newmont Corporation;Basic Materials;US;USD;Long;Langfrist;12.05.2026;120.0;;105.0;130.0;140.0;Offen;;;;;;;;;;;;;
FCX;Freeport-McMoRan;Basic Materials;US;USD;Long;Trendfolge;19.08.2026;66.32;;65.0;72.3;80.0;Offen;;;;;;;;;;;;;
SPYI.DE;State Street SPDR MSCI All Country World Investable Market UCITS ETF;ETF;EU;EUR;Long;Langfrist;01.07.2026;11.37;;9.0;15.0;20.0;Offen;;;;;;;;;;;;;
ADM;Archer-Daniels-Midland Company;Consumer Defensive;US;USD;Long;Trendfolge;20.08.2026;80.76;;78.0;88.46;91.0;Offen;;;;;;;;;;;;;
SIX2.DE;Sixt SE;Industrials;EU;EUR;Long;Langfrist;24.04.2026;72.0;;69.5;75.0;80.0;Offen;;;;;;;;;;;;;
PPFD.SG;iShares Physical Metals plc - iShares Physical Silver ETC;N/A;EU;EUR;Long;Langfrist;17.02.2026;57.2;;45.0;57.2;75.0;Offen;;;;;;;;;;;;;
BABA;Alibaba Group Holding Limited;Consumer Cyclical;US;USD;Long;Langfrist;07.05.2026;141.0;;100.0;141.0;160.0;Offen;;;;;;;;;;;;;
ENR.DE;Siemens Energy AG;Industrials;EU;EUR;Long;Langfrist;27.04.2026;175.0;;140.0;175.0;200.0;Offen;;;;;;;;;;;;;
VNA.DE;Vonovia SE;Real Estate;EU;EUR;Long;Langfrist;06.10.2025;26.14;;18.0;26.14;30.0;Offen;;;;;;;;;;;;;
ALB;Albemarle Corporation;Basic Materials;US;USD;Long;Langfrist;12.05.2026;200.0;;100.0;200.0;220.0;Offen;;;;;;;;;;;;;
4LL.F;Teladoc Health, Inc.;Healthcare;EU;EUR;Long;Langfrist;10.02.2025;8.31;;5.0;8.31;10.0;Offen;;;;;;;;;;;;;
DRH.F;DroneShield Limited;Industrials;EU;EUR;Long;Langfrist;06.03.2026;2.16;;1.0;2.16;2.5;Offen;;;;;;;;;;;;;
5LA1.F;American Lithium Corp.;Basic Materials;EU;EUR;Long;Langfrist;11.07.2026;0.53;;0.2;0.53;1.0;Offen;;;;;;;;;;;;;
